KM,Lieu,Délai L,Ligne,Station,Commentaire
0,Pl Catalunya,00,L2,pg gracia,SAS de départ
2,Marina,14,L2,Monumental, ou 1.5km à pied
8,Valencia,5,-,-,300m à pied
14,Maiorca,3,-,-,150m à pied /!\ traverser Valence
14,Maiorca,14,L2,Sagrada,
18,Universitat,25,L2,Universitat,Escalator au milieu en face Univ.
26,Point RDV Final,18,L1,Arc Triomphe,ou 20min à pied
28,Rampla,27,L1->L4,Ciutadella villa olympica,
34,Diago,30,L1,Glories,
42,Arc de Triomphe,26,L1,Arc de Triomphe,
43,Point rdv,5,-,-,
